{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[33/10000000] D: 1.25|G: 1.36|Recon: 2.71|Consis: 0.70|Content: 3.60|Style: 11.36|T: 9.10|| M2MM: 0.00|MM2M: 0.00| M2MM
[34/10000000] D: 1.60|G: 0.93|Recon: 2.48|Consis: 0.66|Content: 3.50|Style: 11.10|T: 9.17|| M2MM: 0.00|MM2M: 0.00| M2MM
[35/10000000] D: 1.29|G: 0.86|Recon: 2.29|Consis: 0.59|Content: 2.99|Style: 11.34|T: 9.06|| M2MM: 0.00|MM2M: 0.00| M2MM
[36/10000000] D: 1.23|G: 0.86|Recon: 2.29|Consis: 0.59|Content: 3.10|Style: 13.20|T: 9.06|| M2MM: 0.00|MM2M: 0.00| M2MM
[37/10000000] D: 1.22|G: 0.87|Recon: 2.46|Consis: 0.62|Content: 3.21|Style: 10.51|T: 9.10|| M2MM: 0.00|MM2M: 0.00| M2MM
[38/10000000] D: 1.28|G: 0.91|Recon: 2.39|Consis: 0.57|Content: 3.31|Style: 11.62|T: 9.07|| M2MM: 0.00|MM2M: 0.00| M2MM
[39/10000000] D: 1.12|G: 0.98|Recon: 2.32|Consis: 0.56|Content: 2.93|Style: 11.91|T: 9.00|| M2MM: 0.00|MM2M: 0.00| M2MM
[40/10000000] D: 1.05|G: 1.03|Recon: 2.53|Consis: 0.60|Content: 3.52|Style: 11.88|T: 9.00|| M2MM: 0.00|MM2M: 0.00| M2MM
[41/10000000] D: 1.22|G: 0.98|Recon: 2.34|Consis: 0.57|Content: 3.22|Style: 12.60|T: 9.07|| M2MM: 0.00|MM2M: 0.00| M2MM
[42/10000000] D: 0.98|G: 1.46|Recon: 2.71|Consis: 0.60|Content: 4.62|Style: 13.61|T: 9.06|| M2MM: 0.00|MM2M: 0.00| M2MM
